# Generated Thu, 05 Sep 2013 15:30:29 +0200 by ./mm10_transcript_positions_create.php
# Transcriptome alignment to the genome taken from /home/ifokkema/tmp/ele/RefseqFASTA_mapped-to-genome_maxpath_2.sam.
# Transcript	Reason_for_failure
XM_003945599.1	bad_alignment:D
XM_003945603.1	bad_alignment:I
XM_003945606.1	bad_alignment:DI
XM_003945654.1	bad_alignment:D
XM_003945663.1	bad_alignment:DD
XM_003945669.1	bad_alignment:IDID
XM_003945671.1	bad_alignment:D
XM_003945674.1	weird_alignment:chr1_GL456210_random
XM_003945676.1	weird_alignment:chr1_GL456210_random
XM_003945677.1	weird_alignment:chr1_GL456211_random
XM_003945682.1	bad_alignment:DDIDI
XM_003945683.1	bad_alignment:IIII
XM_003945684.1	bad_alignment:IIIIID
XM_003945685.1	chimeric
XM_003945686.1	bad_alignment:I
XM_003945707.1	bad_alignment:II
XM_003945715.1	weird_alignment:chr5_GL456354_random
XM_003945717.1	bad_alignment:IDDD
XM_003945718.1	bad_alignment:IIDDD
XM_003945719.1	bad_alignment:IIDDD
XM_003945720.1	bad_alignment:IID
XM_003945721.1	bad_alignment:IIDID
XM_003945722.1	bad_alignment:IID
XM_003945729.1	bad_alignment:ID
XM_003945730.1	chimeric
XM_003945731.1	bad_alignment:IDIIDDDD
XM_003945732.1	bad_alignment:IDIIDDI
XM_003945733.1	chimeric
XM_003945734.1	chimeric
XM_003945735.1	bad_alignment:IDD
XM_003945736.1	bad_alignment:IDIIDDD
XM_003945738.1	bad_alignment:DIDD
XM_003945739.1	bad_alignment:D
XM_003945740.1	bad_alignment:DI
XM_003945741.1	bad_alignment:DIII
XM_003945742.1	bad_alignment:DIDI
XM_003945743.1	bad_alignment:D
XM_003945745.1	bad_alignment:IDIIDDDD
XM_003945747.1	bad_alignment:DIDD
XM_003945748.1	bad_alignment:DI
XM_003945749.1	bad_alignment:D
XM_003945795.1	bad_alignment:IIDDD
XM_003945845.1	weird_alignment:chr5_JH584299_random
XM_003945846.1	weird_alignment:chr5_JH584299_random
XM_003945847.1	weird_alignment:chr5_JH584299_random
XM_003945848.1	weird_alignment:chr5_JH584299_random
XM_003945851.1	bad_alignment:ID
XM_003945854.1	bad_alignment:I
XM_003945863.1	bad_alignment:DI
XM_003945865.1	bad_alignment:DD
XM_003945873.1	bad_alignment:II
XM_003945891.1	bad_alignment:D
XM_003945898.1	bad_alignment:II
XM_003945906.1	bad_alignment:D
XM_003945910.1	bad_alignment:DDIDD
XM_003945912.1	bad_alignment:I
XM_003945915.1	bad_alignment:IDI
XM_003945930.1	bad_alignment:I
XM_003945932.1	bad_alignment:D
XM_003945935.1	bad_alignment:DI
XM_003945938.1	bad_alignment:D
XM_003945940.1	bad_alignment:D
XM_003945944.1	bad_alignment:D
XM_003945946.1	bad_alignment:I
XM_003945947.1	bad_alignment:I
XM_003945951.1	bad_alignment:I
XM_003945953.1	bad_alignment:D
XM_003945957.1	bad_alignment:ID
XM_003945960.1	bad_alignment:D
XM_003945971.1	bad_alignment:D
XM_003945972.1	bad_alignment:DD
XM_003945987.1	bad_alignment:IDDDI
XM_003945988.1	bad_alignment:IIDDDII
XM_003945995.1	bad_alignment:II
XM_003945996.1	chimeric
XM_003945997.1	chimeric
XM_003945998.1	chimeric
XM_003945999.1	chimeric
XM_003946003.1	bad_alignment:D
XM_003946004.1	chimeric
XM_003946006.1	bad_alignment:III
XM_003946019.1	bad_alignment:ID
XM_003946021.1	bad_alignment:D
XM_003946023.1	chimeric
XM_003946024.1	bad_alignment:DII
XM_003946035.1	bad_alignment:II
XM_003946036.1	bad_alignment:ID
XM_003946038.1	bad_alignment:I
XM_003946039.1	bad_alignment:I
XM_003946040.1	bad_alignment:DI
XM_003946042.1	bad_alignment:III
XM_003946044.1	bad_alignment:II
XM_003946046.1	bad_alignment:IIDD
XM_003946047.1	bad_alignment:IIDI
XM_003946049.1	chimeric
XM_003946052.1	bad_alignment:II
XM_003946055.1	bad_alignment:DII
XM_003946056.1	bad_alignment:D
XM_003946066.1	bad_alignment:I
XM_003946072.1	bad_alignment:D
XM_003946086.1	bad_alignment:I
XM_003946087.1	bad_alignment:D
XM_003946088.1	bad_alignment:D
XM_003946090.1	bad_alignment:D
XM_003946091.1	bad_alignment:I
XM_003946097.1	chimeric
XM_003946103.1	bad_alignment:DD
XM_003946109.1	bad_alignment:I
XM_003946120.1	chimeric
XM_003946122.1	bad_alignment:I
XM_003946129.1	bad_alignment:II
XM_003946132.1	bad_alignment:I
XM_003946134.1	bad_alignment:I
XM_003946139.1	bad_alignment:DI
XM_003946142.1	bad_alignment:I
XM_003946144.1	bad_alignment:DIIIIDI
XM_003946145.1	bad_alignment:ID
XM_003946149.1	bad_alignment:D
XM_003946150.1	bad_alignment:I
XM_003946153.1	bad_alignment:IDD
XM_003946157.1	bad_alignment:D
XM_003946161.1	bad_alignment:D
XM_003946163.1	bad_alignment:I
XM_003946164.1	bad_alignment:D
XM_003946165.1	bad_alignment:D
XM_003946166.1	bad_alignment:D
XM_003946168.1	bad_alignment:D
XM_003946169.1	weird_alignment:chr5_JH584299_random
XM_003946185.1	chimeric
XM_003946187.1	bad_alignment:D
XM_003946189.1	bad_alignment:D
XM_003946193.1	bad_alignment:ID
XM_003946194.1	bad_alignment:D
XM_003946195.1	bad_alignment:DI
XM_003946196.1	bad_alignment:DID
XM_003946197.1	chimeric
XM_003946198.1	chimeric
XM_003946199.1	bad_alignment:DD
XM_003946202.1	bad_alignment:I
XM_003946205.1	bad_alignment:DDID
XM_003946209.1	bad_alignment:ID
XM_003946215.1	bad_alignment:I
XM_003946217.1	bad_alignment:DD
XM_003946228.1	bad_alignment:IDID
XM_003946230.1	bad_alignment:I
XM_003946231.1	bad_alignment:II
XM_003946236.1	bad_alignment:I
XM_003946238.1	bad_alignment:I
XM_003946241.1	bad_alignment:DDDD
XM_003946245.1	bad_alignment:D
XM_003946249.1	bad_alignment:D
XM_003946251.1	bad_alignment:I
XM_003946257.1	bad_alignment:DI
XM_003946264.1	bad_alignment:DI
XM_003946269.1	bad_alignment:ID
XM_003946273.1	bad_alignment:IID
XM_003946279.1	bad_alignment:DDIIDI
XM_003946288.1	bad_alignment:D
XM_003946291.1	bad_alignment:DDD
XM_003946306.1	bad_alignment:I
XM_003946318.1	chimeric
XM_003946323.1	bad_alignment:IDII
XM_003946324.1	chimeric
XM_003946326.1	bad_alignment:ID
XM_003946327.1	no_alignment
XM_003946328.1	bad_alignment:II
XM_003946330.1	no_alignment
XM_003946331.1	bad_alignment:IID
XM_003946335.1	bad_alignment:D
XM_003946339.1	bad_alignment:D
XM_003946340.1	no_alignment
XM_003946341.1	bad_alignment:DIIIIID
XM_003946342.1	chimeric
XM_003946344.1	bad_alignment:DDDDDIDIIDDDII
XM_003946345.1	bad_alignment:DD
XM_003946346.1	bad_alignment:D
XM_003946347.1	no_alignment
XM_003946348.1	bad_alignment:ID
XM_003946349.1	chimeric
XM_003946350.1	bad_alignment:I
XM_003946354.1	bad_alignment:D
XM_003946355.1	bad_alignment:I
XM_003946361.1	bad_alignment:DIDII
XM_003946368.1	bad_alignment:IIIIII
XM_003946369.1	bad_alignment:II
XM_003946375.1	bad_alignment:I
XM_003946376.1	bad_alignment:IIDID
XM_003946380.1	bad_alignment:DI
XM_003946382.1	bad_alignment:ID
XM_003946383.1	chimeric
XM_003946384.1	bad_alignment:IDDIDI
XM_003946385.1	chimeric
XM_003946388.1	bad_alignment:III
XM_003946394.1	bad_alignment:I
XM_003946395.1	no_alignment
XM_003946399.1	bad_alignment:D
XM_003946401.1	bad_alignment:I
XM_003946403.1	bad_alignment:DI
XM_003946405.1	chimeric
XM_003946409.1	bad_alignment:DD
XM_003946411.1	bad_alignment:IIDDIDIDDIII
XM_003946412.1	chimeric
XM_003946416.1	bad_alignment:IIIDIIDD
XM_003946417.1	bad_alignment:D
XM_003946420.1	bad_alignment:I
XM_003946421.1	bad_alignment:DI
XM_003946423.1	bad_alignment:I
XM_003946425.1	bad_alignment:DDDDIID
XM_003946431.1	chimeric
XM_003946433.1	bad_alignment:DDD
XM_003946435.1	chimeric
XM_003946436.1	chimeric
XM_003946437.1	chimeric
XM_003946438.1	chimeric
XM_003946439.1	bad_alignment:DIDD
XM_003946440.1	bad_alignment:DIDI
XM_003946441.1	bad_alignment:DII
XM_003946442.1	chimeric
XM_003946443.1	chimeric
XM_003946444.1	chimeric
XM_003946445.1	bad_alignment:DII
XM_003946447.1	bad_alignment:IDD
XM_003946449.1	bad_alignment:D
XM_003946459.1	bad_alignment:DI
XM_141020.8	bad_alignment:D
XM_355880.8	bad_alignment:D
XM_357051.6	bad_alignment:D
XM_358238.6	bad_alignment:D
XM_359206.5	chimeric
XM_485681.7	bad_alignment:DD
XM_486235.6	bad_alignment:D
XM_618920.6	bad_alignment:I
XM_884945.2	weird_alignment:chr5_JH584299_random
XM_889473.3	weird_alignment:chr5_GL456354_random
XM_889788.4	weird_alignment:chr5_JH584299_random
XM_893296.4	bad_alignment:IIDDDDD
XM_894492.1	bad_alignment:D
XM_894989.5	bad_alignment:IIDDI
XM_904627.1	bad_alignment:D
XM_904805.5	bad_alignment:D
XM_905140.4	weird_alignment:chr4_JH584292_random
XM_905449.6	chimeric
XM_905763.2	bad_alignment:IDDI
XM_906010.4	bad_alignment:IIIDDID
XM_908402.6	bad_alignment:IIDDI
XM_913492.5	bad_alignment:D
XM_913669.5	bad_alignment:D
XM_914307.5	chimeric
XM_914937.5	bad_alignment:IID
XM_914998.2	bad_alignment:I
XM_916080.4	bad_alignment:I
XM_916567.3	bad_alignment:D
XM_917520.5	bad_alignment:D
XM_917659.5	bad_alignment:DD
XM_917895.4	bad_alignment:D
XM_917927.3	bad_alignment:D
XM_917930.4	bad_alignment:D
XM_918592.5	chimeric
XM_973659.4	bad_alignment:IDI
XM_975798.4	chimeric
XM_977084.2	weird_alignment:chr5_GL456354_random
XM_977121.3	weird_alignment:chr5_GL456354_random
XM_979044.2	weird_alignment:chr5_JH584299_random
XM_979231.2	weird_alignment:chr5_GL456354_random
XM_985542.5	bad_alignment:D
XM_986074.2	bad_alignment:D
XM_992322.4	chimeric
XM_993473.3	bad_alignment:DD
XR_001564.2	bad_alignment:D
XR_001567.3	bad_alignment:I
XR_001569.5	bad_alignment:I
XR_001587.2	bad_alignment:D
XR_001590.3	bad_alignment:I
XR_001595.5	bad_alignment:I
XR_001621.4	bad_alignment:D
XR_001629.3	bad_alignment:D
XR_001634.3	bad_alignment:I
XR_001846.3	bad_alignment:D
XR_002061.3	bad_alignment:IDII
XR_002190.2	bad_alignment:I
XR_002295.4	bad_alignment:IID
XR_002317.3	bad_alignment:I
XR_002343.3	bad_alignment:IDI
XR_002344.2	bad_alignment:D
XR_002345.2	bad_alignment:I
XR_005166.3	bad_alignment:I
XR_005167.2	bad_alignment:D
XR_030524.2	weird_alignment:chr1_GL456221_random
XR_030771.2	bad_alignment:D
XR_031081.3	bad_alignment:IDII
XR_031261.2	bad_alignment:DDDI
XR_031318.3	bad_alignment:IDDDD
XR_031511.3	bad_alignment:IIIII
XR_031666.2	bad_alignment:DDDI
XR_032378.2	bad_alignment:D
XR_032609.3	bad_alignment:ID
XR_032717.2	bad_alignment:DI
XR_032878.2	bad_alignment:DI
XR_033143.2	bad_alignment:IDI
XR_033201.3	bad_alignment:ID
XR_033633.3	bad_alignment:D
XR_033650.3	bad_alignment:D
XR_033838.2	bad_alignment:ID
XR_033994.3	bad_alignment:I
XR_034260.2	bad_alignment:D
XR_034946.2	bad_alignment:D
XR_035022.3	bad_alignment:DD
XR_035217.3	bad_alignment:D
XR_035286.3	bad_alignment:ID
XR_035322.3	bad_alignment:D
XR_035369.2	bad_alignment:DII
XR_035383.2	bad_alignment:I
XR_035401.2	bad_alignment:DDDDDDIIIDDD
XR_035403.3	bad_alignment:DD
XR_035405.1	bad_alignment:D
XR_035432.2	bad_alignment:DIDDI
XR_035460.3	bad_alignment:DI
XR_035730.2	bad_alignment:DDIID
XR_104530.1	bad_alignment:D
XR_104601.1	bad_alignment:II
XR_104614.1	bad_alignment:DI
XR_104785.2	bad_alignment:I
XR_104829.2	bad_alignment:D
XR_105052.1	bad_alignment:DD
XR_105176.3	bad_alignment:IDID
XR_105225.1	bad_alignment:I
XR_105474.1	bad_alignment:III
XR_105479.2	bad_alignment:I
XR_105545.1	bad_alignment:D
XR_105719.3	bad_alignment:DII
XR_105791.2	bad_alignment:D
XR_105875.3	bad_alignment:DDD
XR_105912.1	bad_alignment:DDII
XR_105914.2	bad_alignment:D
XR_106057.1	bad_alignment:DDI
XR_106078.2	bad_alignment:D
XR_106126.2	chimeric
XR_106224.1	bad_alignment:DDII
XR_106271.2	bad_alignment:IDD
XR_106495.1	bad_alignment:ID
XR_106518.2	bad_alignment:I
XR_106523.3	bad_alignment:D
XR_106544.1	bad_alignment:III
XR_106557.1	bad_alignment:DI
XR_106563.1	bad_alignment:D
XR_106569.2	bad_alignment:I
XR_106592.1	bad_alignment:I
XR_106614.2	bad_alignment:D
XR_106616.2	bad_alignment:DD
XR_106641.1	bad_alignment:I
XR_106647.2	bad_alignment:D
XR_106661.1	bad_alignment:DDII
XR_106666.2	bad_alignment:IDI
XR_106668.1	bad_alignment:DDI
XR_106670.1	bad_alignment:D
XR_106690.1	bad_alignment:III
XR_106698.2	bad_alignment:IIIII
XR_106725.1	bad_alignment:DDIII
XR_106735.1	bad_alignment:ID
XR_106774.2	bad_alignment:I
XR_106777.1	bad_alignment:DD
XR_106804.1	bad_alignment:IDIDII
XR_106815.1	bad_alignment:D
XR_106830.1	bad_alignment:I
XR_106835.1	bad_alignment:DDI
XR_106884.1	bad_alignment:II
XR_106911.2	bad_alignment:DDDDI
XR_106912.1	bad_alignment:I
XR_106913.1	bad_alignment:DIDDD
XR_106926.1	bad_alignment:IIID
XR_106930.1	bad_alignment:D
XR_106936.3	bad_alignment:DII
XR_106953.2	chimeric
XR_106973.1	bad_alignment:D
XR_106988.1	bad_alignment:D
XR_106995.2	bad_alignment:D
XR_107024.1	bad_alignment:I
XR_107030.1	bad_alignment:DDII
XR_107040.3	bad_alignment:DDDD
XR_107066.1	bad_alignment:D
XR_107093.2	bad_alignment:I
XR_107119.1	bad_alignment:IDDI
XR_107130.3	bad_alignment:III
XR_107138.1	bad_alignment:I
XR_107140.2	bad_alignment:D
XR_107193.1	bad_alignment:I
XR_107198.1	bad_alignment:IDI
XR_107223.1	bad_alignment:I
XR_107227.1	bad_alignment:I
XR_107233.1	bad_alignment:DI
XR_107237.1	bad_alignment:I
XR_107244.1	bad_alignment:I
XR_107247.1	bad_alignment:ID
XR_107257.1	no_alignment
XR_107271.1	bad_alignment:D
XR_107273.1	bad_alignment:D
XR_107292.1	bad_alignment:DI
XR_107310.1	bad_alignment:IIII
XR_107314.1	bad_alignment:II
XR_107326.1	bad_alignment:I
XR_107344.1	bad_alignment:IDDIIDDIDD
XR_107348.1	bad_alignment:D
XR_107352.3	bad_alignment:D
XR_107364.1	bad_alignment:D
XR_107378.2	bad_alignment:ID
XR_107380.1	bad_alignment:IDDI
XR_107381.3	bad_alignment:DD
XR_107382.1	bad_alignment:I
XR_107383.1	bad_alignment:DD
XR_107390.1	bad_alignment:D
XR_107406.3	bad_alignment:D
XR_107435.1	bad_alignment:D
XR_107439.1	bad_alignment:D
XR_107458.1	bad_alignment:D
XR_107459.1	bad_alignment:D
XR_107463.1	bad_alignment:D
XR_107476.1	bad_alignment:DD
XR_107485.1	bad_alignment:DII
XR_107491.2	bad_alignment:I
XR_107499.2	bad_alignment:D
XR_107509.1	bad_alignment:I
XR_107526.1	bad_alignment:IDI
XR_107531.1	bad_alignment:ID
XR_107545.1	bad_alignment:IDDIIDD
XR_107559.1	bad_alignment:D
XR_107583.2	bad_alignment:D
XR_107604.1	bad_alignment:D
XR_107614.1	bad_alignment:DDD
XR_107616.1	bad_alignment:DDD
XR_107662.2	bad_alignment:ID
XR_107679.2	bad_alignment:D
XR_107692.1	bad_alignment:D
XR_107744.1	bad_alignment:D
XR_107756.1	bad_alignment:ID
XR_107790.1	bad_alignment:I
XR_107791.1	bad_alignment:I
XR_107795.1	bad_alignment:I
XR_107802.1	bad_alignment:DD
XR_107825.1	bad_alignment:IIDD
XR_107829.1	bad_alignment:I
XR_107848.2	bad_alignment:D
XR_107855.1	bad_alignment:DIDDD
XR_107875.1	bad_alignment:I
XR_107909.3	bad_alignment:IDID
XR_107912.1	bad_alignment:I
XR_107927.1	bad_alignment:D
XR_107929.1	bad_alignment:ID
XR_107954.1	bad_alignment:DIDII
XR_107956.2	bad_alignment:I
XR_107984.2	bad_alignment:D
XR_107990.1	bad_alignment:IIII
XR_108005.1	bad_alignment:I
XR_108007.1	bad_alignment:III
XR_108017.1	bad_alignment:I
XR_108019.2	bad_alignment:I
XR_108025.1	bad_alignment:D
XR_108039.2	bad_alignment:II
XR_108045.2	bad_alignment:I
XR_108051.1	bad_alignment:I
XR_108070.1	bad_alignment:I
XR_108081.1	bad_alignment:DII
XR_108093.1	bad_alignment:I
XR_108118.1	bad_alignment:IDID
XR_108152.1	bad_alignment:D
XR_108184.2	bad_alignment:D
XR_108213.1	bad_alignment:ID
XR_108228.1	bad_alignment:DDI
XR_108229.1	bad_alignment:I
XR_108233.2	weird_alignment:chr1_GL456210_random
XR_108238.2	bad_alignment:IID
XR_108246.1	bad_alignment:DII
XR_108247.1	bad_alignment:II
XR_108253.2	bad_alignment:D
XR_140412.1	bad_alignment:II
XR_140416.1	bad_alignment:DI
XR_140423.1	bad_alignment:D
XR_140424.2	chimeric
XR_140445.1	bad_alignment:IIDD
XR_140458.1	bad_alignment:I
XR_140478.1	bad_alignment:D
XR_140505.2	bad_alignment:D
XR_140509.2	bad_alignment:I
XR_140512.1	bad_alignment:IDI
XR_140545.2	bad_alignment:I
XR_140554.2	bad_alignment:DDIIIIDDD
XR_140619.1	bad_alignment:DD
XR_140625.2	bad_alignment:D
XR_140627.2	bad_alignment:IID
XR_140628.2	chimeric
XR_140630.2	bad_alignment:IID
XR_140631.2	chimeric
XR_140632.2	bad_alignment:IDD
XR_140682.1	bad_alignment:D
XR_140685.2	bad_alignment:D
XR_140686.1	bad_alignment:D
XR_140687.2	bad_alignment:D
XR_140696.1	bad_alignment:II
XR_140719.1	bad_alignment:III
XR_140755.1	weird_alignment:chr1_GL456211_random
XR_140756.2	bad_alignment:ID
XR_140768.1	bad_alignment:D
XR_140798.2	bad_alignment:I
XR_140811.2	bad_alignment:I
XR_140812.1	bad_alignment:DIDIIDDIIDDD
XR_140814.1	bad_alignment:IDIIDDDIIDDD
XR_140855.2	bad_alignment:D
XR_140884.1	bad_alignment:I
XR_140900.1	bad_alignment:DDII
XR_140911.2	bad_alignment:D
XR_140938.2	bad_alignment:I
XR_140944.1	bad_alignment:I
XR_141019.1	bad_alignment:D
XR_141039.2	bad_alignment:D
XR_141046.1	bad_alignment:II
XR_141061.1	bad_alignment:I
XR_141112.2	bad_alignment:I
XR_141145.2	bad_alignment:D
XR_141161.1	bad_alignment:DD
XR_141164.1	bad_alignment:I
XR_141169.2	bad_alignment:I
XR_141178.2	bad_alignment:I
XR_141180.2	bad_alignment:DII
XR_141200.2	bad_alignment:I
XR_141213.1	bad_alignment:D
XR_141226.1	bad_alignment:D
XR_141259.1	bad_alignment:I
XR_141271.1	bad_alignment:DDDDDD
XR_141350.2	bad_alignment:I
XR_141368.2	bad_alignment:IIDI
XR_141398.2	bad_alignment:I
XR_141410.1	bad_alignment:ID
XR_141416.2	bad_alignment:I
XR_141434.2	weird_alignment:chr5_JH584299_random
XR_141435.1	weird_alignment:chrUn_JH584304
XR_141436.1	weird_alignment:chrUn_JH584304
XR_141437.1	bad_alignment:D
XR_141448.1	bad_alignment:II
XR_141449.1	bad_alignment:D
XR_141452.1	bad_alignment:II
XR_141467.1	bad_alignment:D
XR_141468.2	chimeric
XR_141473.1	bad_alignment:I
XR_141474.2	bad_alignment:I
XR_141481.1	bad_alignment:DDDI
XR_141488.1	bad_alignment:DIDDDIIIDIIDD
XR_141508.2	weird_alignment:chr1_GL456221_random
XR_141512.2	weird_alignment:chr1_GL456212_random
XR_141515.2	bad_alignment:IDDDD
XR_141516.2	bad_alignment:IIID
XR_141520.1	bad_alignment:DDI
XR_141524.1	bad_alignment:DD
XR_141556.2	bad_alignment:ID
XR_141576.1	bad_alignment:ID
XR_141581.1	bad_alignment:I
XR_141582.2	bad_alignment:I
XR_141599.1	bad_alignment:DIII
XR_141602.1	bad_alignment:I
XR_141605.1	bad_alignment:D
XR_141624.2	bad_alignment:D
XR_141626.1	bad_alignment:II
XR_141630.1	bad_alignment:I
XR_141634.1	bad_alignment:DI
XR_141644.1	bad_alignment:D
XR_141662.1	bad_alignment:DDIIID
XR_141665.1	chimeric
XR_141666.1	bad_alignment:III
XR_141667.1	bad_alignment:I
XR_141691.2	bad_alignment:D
XR_141711.2	bad_alignment:I
XR_141713.2	bad_alignment:IIIID
XR_141721.1	bad_alignment:D
XR_141738.1	bad_alignment:I
XR_141739.1	bad_alignment:DI
XR_141747.2	bad_alignment:D
XR_141748.1	bad_alignment:D
XR_141750.2	bad_alignment:I
XR_141757.1	bad_alignment:DI
XR_141759.1	bad_alignment:DD
XR_141767.1	bad_alignment:I
XR_141775.1	bad_alignment:DDDDDD
XR_141781.1	bad_alignment:I
XR_141786.1	bad_alignment:DIID
XR_141788.1	bad_alignment:I
XR_141797.1	bad_alignment:ID
XR_141800.1	bad_alignment:DI
XR_141805.1	bad_alignment:DDDDI
XR_141811.1	bad_alignment:IDDD
XR_141835.1	bad_alignment:I
XR_141848.2	bad_alignment:D
XR_141860.1	bad_alignment:II
XR_141863.2	bad_alignment:IIDI
XR_141865.2	bad_alignment:II
XR_141867.1	bad_alignment:II
XR_141873.1	bad_alignment:D
XR_141874.2	bad_alignment:I
XR_141880.1	bad_alignment:DIDD
XR_141891.2	bad_alignment:DII
XR_141915.1	bad_alignment:I
XR_141927.1	bad_alignment:I
XR_141931.1	bad_alignment:D
XR_141934.2	bad_alignment:I
XR_141939.1	bad_alignment:I
XR_141940.1	bad_alignment:IDIDII
XR_141946.1	bad_alignment:ID
XR_141949.1	bad_alignment:D
XR_141951.1	bad_alignment:IDID
XR_141964.1	bad_alignment:I
XR_141965.1	bad_alignment:I
XR_141967.1	bad_alignment:IDI
XR_141970.1	bad_alignment:DI
XR_141979.1	bad_alignment:I
XR_141980.1	bad_alignment:IDDD
XR_141992.2	chimeric
XR_142006.1	bad_alignment:II
XR_142015.1	bad_alignment:II
XR_142017.2	bad_alignment:II
XR_142031.1	bad_alignment:DI
XR_142035.1	bad_alignment:I
XR_142046.2	chimeric
XR_142047.1	chimeric
XR_142057.1	bad_alignment:II
XR_142062.1	bad_alignment:DI
XR_142069.1	bad_alignment:D
XR_142072.1	bad_alignment:II
XR_142082.2	bad_alignment:D
XR_142087.2	bad_alignment:III
XR_142098.1	bad_alignment:III
XR_142104.1	bad_alignment:II
XR_142107.2	bad_alignment:D
XR_142115.1	bad_alignment:I
XR_142120.1	bad_alignment:II
XR_142126.1	bad_alignment:II
XR_142128.1	bad_alignment:D
XR_142130.1	bad_alignment:D
XR_142138.1	bad_alignment:D
XR_142139.1	bad_alignment:III
XR_142147.1	bad_alignment:D
XR_142151.1	bad_alignment:ID
XR_142153.2	weird_alignment:chr1_GL456211_random
XR_142159.1	bad_alignment:D
XR_142173.1	bad_alignment:I
XR_142174.1	bad_alignment:DDI
XR_142177.1	bad_alignment:DDI
XR_142194.1	bad_alignment:DD
XR_142217.2	bad_alignment:II
XR_142237.1	bad_alignment:I
XR_142238.1	bad_alignment:ID
XR_142242.1	bad_alignment:I
XR_142243.2	bad_alignment:D
XR_142267.1	bad_alignment:DD
XR_142271.1	bad_alignment:D
XR_142274.1	bad_alignment:D
XR_142279.1	bad_alignment:DD
XR_142283.1	bad_alignment:I
XR_142286.1	bad_alignment:ID
XR_142305.1	bad_alignment:DDII
XR_142313.1	bad_alignment:DII
XR_142326.1	bad_alignment:I
XR_142328.2	bad_alignment:ID
XR_142329.1	bad_alignment:D
XR_142330.2	bad_alignment:I
XR_142335.1	bad_alignment:I
XR_142339.1	bad_alignment:DDD
XR_142356.1	bad_alignment:II
XR_142369.1	bad_alignment:II
XR_142381.1	bad_alignment:I
XR_142384.2	bad_alignment:II
XR_142388.1	chimeric
XR_142398.1	bad_alignment:I
XR_142401.2	bad_alignment:I
XR_142412.1	bad_alignment:ID
XR_142413.1	bad_alignment:DIDDIIIDIIDD
XR_142418.1	bad_alignment:ID
XR_142419.2	bad_alignment:I
XR_142425.1	no_alignment
XR_142427.1	bad_alignment:IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
XR_142428.1	bad_alignment:D
XR_142432.2	bad_alignment:ID
XR_142433.1	bad_alignment:II
XR_142439.1	chimeric
XR_142444.1	bad_alignment:D
XR_142445.1	bad_alignment:D
XR_142448.1	bad_alignment:I
XR_168393.1	bad_alignment:I
XR_168398.1	bad_alignment:I
XR_168399.1	bad_alignment:IIDDI
XR_168402.1	bad_alignment:IIDDD
XR_168425.1	bad_alignment:D
XR_168431.1	bad_alignment:D
XR_168434.1	bad_alignment:III
XR_168456.1	bad_alignment:D
XR_168457.1	bad_alignment:D
XR_168458.1	bad_alignment:D
XR_168467.1	bad_alignment:I
XR_168480.1	bad_alignment:ID
XR_168489.1	bad_alignment:I
XR_168490.1	bad_alignment:I
XR_168491.1	bad_alignment:ID
XR_168499.1	bad_alignment:D
XR_168508.1	bad_alignment:IDIII
XR_168515.1	bad_alignment:I
XR_168519.1	bad_alignment:ID
XR_168526.1	bad_alignment:D
XR_168541.1	bad_alignment:D
XR_168545.1	bad_alignment:I
XR_168546.1	bad_alignment:I
XR_168549.1	bad_alignment:D
XR_168550.1	bad_alignment:D
XR_168556.1	bad_alignment:DD
XR_168557.1	bad_alignment:I
XR_168567.1	bad_alignment:I
XR_168576.1	bad_alignment:I
XR_168579.1	bad_alignment:D
XR_168589.1	bad_alignment:I
XR_168592.1	bad_alignment:D
XR_168596.1	bad_alignment:ID
XR_168600.1	bad_alignment:IDDIIIDDII
XR_168601.1	bad_alignment:I
XR_168609.1	bad_alignment:I
XR_168615.1	bad_alignment:D
XR_168619.1	bad_alignment:DII
XR_168635.1	bad_alignment:DI
XR_168636.1	weird_alignment:chr1_GL456210_random
XR_168639.1	bad_alignment:DI
XR_168641.1	weird_alignment:chr4_GL456350_random
XR_168642.1	bad_alignment:DD
XR_168645.1	bad_alignment:ID
XR_168646.1	bad_alignment:I
XR_168648.1	bad_alignment:IIID
XR_168650.1	bad_alignment:DD
XR_168653.1	bad_alignment:I
XR_168655.1	bad_alignment:DI
XR_168657.1	bad_alignment:I
XR_168663.1	bad_alignment:D
XR_168677.1	bad_alignment:DI
XR_168682.1	bad_alignment:I
XR_168686.1	bad_alignment:I
XR_168688.1	bad_alignment:DIDD
XR_168690.1	bad_alignment:I
XR_168691.1	bad_alignment:DII
XR_168694.1	bad_alignment:III
XR_168698.1	bad_alignment:DI
XR_168701.1	bad_alignment:D
XR_168704.1	bad_alignment:ID
XR_168706.1	bad_alignment:D
XR_168708.1	bad_alignment:D
XR_168713.1	bad_alignment:IIDII
XR_168719.1	bad_alignment:D
XR_168720.1	bad_alignment:II
XR_168722.1	bad_alignment:I
XR_168723.1	bad_alignment:I
XR_168725.1	bad_alignment:I
XR_168728.1	bad_alignment:D
XR_168729.1	bad_alignment:D
XR_168737.1	bad_alignment:I
XR_168738.1	bad_alignment:I
XR_168739.1	bad_alignment:D
XR_168743.1	bad_alignment:DDDDIDII
XR_168744.1	bad_alignment:I
XR_168745.1	bad_alignment:I
XR_168746.1	bad_alignment:D
XR_168747.1	bad_alignment:D
